Espèce,Variété,Fournisseur,Délai croissance plants (j),Date en terre,Durée avant récolte (j),Étalement récolte (j),Date réalisation plants,Date début récolte,Date fin récolte,Longueur de rang de cette série (m),Longueur de  rang totale (m),Longueur de  rang par livraison (m),Nombre de rangs retenus,Intra rang (cm),Nombre de pieds,Nb graines par m,Nombre de graines,Nb graines par gramme,Poids par graine (g),Poids de graines (g),lieu,liste_planches
Courge,muscade,BIAUGERME,30,11/05/2016,120,7,11/04/2016,08/09/2016,15/09/2016,60,"473,484848484849","18,9393939393939","1,2",100,60,"1,11111111111111","66,6666666666666","6,66666666666667","0,15","9,99999999999999",CHAMP,
Courge,patidou,BIAUGERME,30,12/05/2016,120,7,12/04/2016,09/09/2016,16/09/2016,30,"473,484848484849","18,9393939393939","1,2",100,30,"1,11111111111111","33,3333333333333","6,66666666666667","0,15","4,99999999999999",CHAMP,
Courge,longue de Nice,BIAUGERME,30,13/05/2016,120,7,13/04/2016,10/09/2016,17/09/2016,60,"473,484848484849","18,9393939393939","1,2",100,60,"1,11111111111111","66,6666666666666","6,66666666666667","0,15","9,99999999999999",CHAMP,
Courge,potimaron red kuri,BIAUGERME,30,14/05/2016,120,7,14/04/2016,11/09/2016,18/09/2016,60,"473,484848484849","18,9393939393939","1,2",100,60,"1,11111111111111","66,6666666666666","6,66666666666667","0,15","9,99999999999999",CHAMP,
Courge,kabocha,BIAUGERME,30,15/05/2016,120,7,15/04/2016,12/09/2016,19/09/2016,60,"473,484848484849","18,9393939393939","1,2",100,60,"1,11111111111111","66,6666666666666","6,66666666666667","0,15","9,99999999999999",CHAMP,
Courge,sucrine du berry,BIAUGERME,30,16/05/2016,120,7,16/04/2016,13/09/2016,20/09/2016,60,"473,484848484849","18,9393939393939","1,2",100,60,"1,11111111111111","66,6666666666666","6,66666666666667","0,15","9,99999999999999",CHAMP,
Courge,pleine de napple,BIAUGERME,30,17/05/2016,120,7,17/04/2016,14/09/2016,21/09/2016,60,"473,484848484849","18,9393939393939","1,2",100,60,"1,11111111111111","66,6666666666666","6,66666666666667","0,15","9,99999999999999",CHAMP,
Courgette,de Nice à fruit rond,,,18/05/2016,120,30,-,15/09/2016,15/10/2016,,"55,5555555555556","5,55555555555556","1,2",100,0,"1,11111111111111",0,"6,66666666666667","0,15",0,SERRE,
Courgette,Gold Rush,,21,10/05/2016,120,30,19/04/2016,07/09/2016,07/10/2016,,"55,5555555555556","5,55555555555556","1,2",100,0,"1,11111111111111",0,"6,66666666666667","0,15",0,CHAMP,
Courgette,black beauty,,21,11/05/2016,100,30,20/04/2016,19/08/2016,18/09/2016,,"55,5555555555556","5,55555555555556","1,2",100,0,"1,11111111111111",0,"6,66666666666667","0,15",0,CHAMP,
Echalote,cuisse de poulet Longor,,,18/03/2016,180,7,-,14/09/2016,21/09/2016,90,"173,611111111111","34,7222222222222",6,15,600,"7,40740740740741","666,666666666667","0,01",100,"66666,6666666667",CHAMP,
Echalote,ronde Red Sun Bio,,,18/03/2016,180,7,-,14/09/2016,21/09/2016,90,"173,611111111111","34,7222222222222",6,15,600,"7,40740740740741","666,666666666667","0,01",100,"66666,6666666667",CHAMP,
