SEMIS SERRE VERRE REALISES 2015,,,,,,janvier,,,,,février,,,,mars,,,,avril,,,,,mai,,,,,juin,,,,juillet,,,,aout,,,,septembre,,,,octobre,,,,,novembre,,,,décembre,,,,,
ESPECE,VARIETE,frs,prod,Q,surf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,,
CHOU DE CHINE,KABOTO F1,,,120,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOU DE CHINE,KABOTO F1,,,120,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOU DE CHINE,KABOTO F1,,,120,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOU DE CHINE,MIZUNA,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,
CHOU DE CHINE,MIZUNA,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,
CHOU DE CHINE,MIZUNA,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,20,,,,,,,,,,,
CHOU DE CHINE,MIZUNA,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
CHOU DE CHINE,MIZUNA,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,
CHOU DE CHINE,PAK-CHOI,,OCT,90,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,,,,,,,,,
CHOU DE CHINE,PAK-CHOI,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,
CHOU DE CHINE,BILKO,,NOV,120,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
CHOU DE CHINE,BILKO,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
